incident_key,OCCUR_DATE,OCCUR_TIME,BOROUGH,PRECINCT,JURISDICTION_CODE,STATISTICAL_MURDER_FLAG,VIC_AGE_GROUP,VIC_SEX,VIC_RACE
175773152,03-12-18,3:40:00,QUEENS,102,0.0,0,25-44,F,AMERICAN INDIAN/ALASKAN NATIVE
86992683,09/30/2012,16:21:00,BRONX,52,0.0,0,18-24,M,AMERICAN INDIAN/ALASKAN NATIVE
68128869,11/23/2009,15:09:00,BRONX,47,0.0,0,<18,M,AMERICAN INDIAN/ALASKAN NATIVE
73100048,06-07-10,3:55:00,BROOKLYN,75,0.0,0,18-24,M,AMERICAN INDIAN/ALASKAN NATIVE
33861152,08/19/2007,6:40:00,BRONX,48,0.0,0,18-24,M,AMERICAN INDIAN/ALASKAN NATIVE
157587580,10-12-16,23:55:00,QUEENS,110,0.0,0,18-24,M,AMERICAN INDIAN/ALASKAN NATIVE
59753075,03/18/2009,21:30:00,BRONX,49,0.0,0,<18,M,AMERICAN INDIAN/ALASKAN NATIVE
78638633,05-09-11,23:50:00,BROOKLYN,67,0.0,0,25-44,M,AMERICAN INDIAN/ALASKAN NATIVE
231008085,07/16/2021,22:05:00,BROOKLYN,72,0.0,0,25-44,M,ASIAN / PACIFIC ISLANDER
233149851,09-04-21,20:18:00,MANHATTAN,32,0.0,0,18-24,M,ASIAN / PACIFIC ISLANDER
230193608,06/28/2021,21:46:00,BROOKLYN,72,0.0,0,25-44,M,ASIAN / PACIFIC ISLANDER
233149851,09-04-21,20:18:00,MANHATTAN,32,0.0,1,18-24,M,ASIAN / PACIFIC ISLANDER
236234762,11/13/2021,2:19:00,QUEENS,111,0.0,0,25-44,M,ASIAN / PACIFIC ISLANDER
226321324,03/30/2021,16:25:00,BROOKLYN,73,0.0,0,25-44,M,ASIAN / PACIFIC ISLANDER
232181257,08-12-21,21:55:00,QUEENS,102,0.0,1,18-24,M,ASIAN / PACIFIC ISLANDER
224465137,02/16/2021,20:48:00,BRONX,44,0.0,0,25-44,M,ASIAN / PACIFIC ISLANDER
227127703,04/19/2021,19:20:00,BRONX,49,0.0,0,18-24,M,ASIAN / PACIFIC ISLANDER
230508668,07-06-21,13:54:00,QUEENS,105,0.0,0,25-44,M,ASIAN / PACIFIC ISLANDER
229643179,06/16/2021,23:30:00,BROOKLYN,79,2.0,0,45-64,M,ASIAN / PACIFIC ISLANDER
228254685,05/14/2021,19:22:00,QUEENS,106,0.0,0,25-44,M,ASIAN / PACIFIC ISLANDER
236761009,11/21/2021,16:15:00,QUEENS,110,0.0,0,18-24,M,ASIAN / PACIFIC ISLANDER
234930233,10/13/2021,17:55:00,BROOKLYN,62,0.0,0,18-24,F,ASIAN / PACIFIC ISLANDER
236095853,11-09-21,18:17:00,QUEENS,114,0.0,0,18-24,M,ASIAN / PACIFIC ISLANDER
237852477,12/14/2021,19:29:00,BROOKLYN,70,0.0,1,18-24,M,ASIAN / PACIFIC ISLANDER
224950991,02/26/2021,22:25:00,BROOKLYN,73,0.0,0,18-24,M,ASIAN / PACIFIC ISLANDER
233828559,09/19/2021,19:33:00,QUEENS,109,0.0,1,25-44,M,ASIAN / PACIFIC ISLANDER
235736470,10/31/2021,2:18:00,BROOKLYN,83,0.0,0,18-24,M,ASIAN / PACIFIC ISLANDER
224465137,02/16/2021,20:48:00,BRONX,44,0.0,1,25-44,M,ASIAN / PACIFIC ISLANDER
234930233,10/13/2021,17:55:00,BROOKLYN,62,0.0,1,18-24,F,ASIAN / PACIFIC ISLANDER
231866068,08-05-21,8:57:00,QUEENS,103,0.0,0,18-24,M,ASIAN / PACIFIC ISLANDER
232263466,08/13/2021,3:56:00,QUEENS,106,0.0,0,25-44,M,ASIAN / PACIFIC ISLANDER
231637054,08-01-21,2:15:00,MANHATTAN,17,0.0,0,25-44,M,ASIAN / PACIFIC ISLANDER
237744900,12-12-21,4:01:00,QUEENS,114,0.0,0,25-44,M,ASIAN / PACIFIC ISLANDER
33008215,07-09-07,2:28:00,BROOKLYN,71,0.0,1,25-44,M,ASIAN / PACIFIC ISLANDER
74342175,08/26/2010,21:02:00,BRONX,43,0.0,0,18-24,M,ASIAN / PACIFIC ISLANDER
204458416,11-01-19,5:00:00,BRONX,44,0.0,0,25-44,M,ASIAN / PACIFIC ISLANDER
80558961,09-02-11,3:56:00,QUEENS,113,0.0,0,45-64,M,ASIAN / PACIFIC ISLANDER
167036161,07/14/2017,3:26:00,BROOKLYN,70,0.0,0,18-24,M,ASIAN / PACIFIC ISLANDER
164781320,05/14/2017,12:41:00,BROOKLYN,75,0.0,0,18-24,M,ASIAN / PACIFIC ISLANDER
220063007,11-03-20,0:07:00,BRONX,48,0.0,0,18-24,M,ASIAN / PACIFIC ISLANDER
